Gene	sgRNA	eff
EP300	EP300_g69	1
EP300	EP300_g70	1
EP300	EP300_g71	1
EP300	EP300_g72	1
ASH1L	ASH1L_g73	1
ASH1L	ASH1L_g74	1
ASH1L	ASH1L_g75	1
ASH1L	ASH1L_g76	1
ASH1L	ASH1L_g77	1
ASH1L	ASH1L_g78	1
EHMT1	EHMT1_g79	1
EHMT1	EHMT1_g80	1
EHMT1	EHMT1_g81	1
EHMT1	EHMT1_g82	1
EHMT1	EHMT1_g83	1
EHMT1	EHMT1_g84	1
EHMT2	EHMT2_g85	1
EHMT2	EHMT2_g86	1
EHMT2	EHMT2_g87	1
EHMT2	EHMT2_g88	1
EHMT2	EHMT2_g89	1
EHMT2	EHMT2_g90	1
PRDM2	PRDM2_g91	1
PRDM2	PRDM2_g92	1
PRDM2	PRDM2_g93	1
PRDM2	PRDM2_g94	1
PRDM2	PRDM2_g95	1
PRDM2	PRDM2_g96	1
NSD1	NSD1_g97	1
NSD1	NSD1_g98	1
NSD1	NSD1_g99	1
NSD1	NSD1_g100	1
NSD1	NSD1_g101	1
NSD1	NSD1_g102	1
SOX9	SOX9_g1	1
SOX9	SOX9_g2	1
SOX9	SOX9_g3	1
SOX9	SOX9_g4	1
SOX9	SOX9_g5	1
SOX9	SOX9_g6	1
PROM1	PROM1_g7	1
PROM1	PROM1_g8	1
PROM1	PROM1_g9	1
PROM1	PROM1_g10	1
PROM1	PROM1_g11	1
PROM1	PROM1_g12	1
KRT20	KRT20_g13	1
KRT20	KRT20_g14	1
KRT20	KRT20_g15	1
KRT20	KRT20_g16	1
KRT20	KRT20_g17	1
KRT20	KRT20_g18	1
LRIG1	LRIG1_g19	1
LRIG1	LRIG1_g20	1
LRIG1	LRIG1_g21	1
LRIG1	LRIG1_g22	1
LRIG1	LRIG1_g23	1
LRIG1	LRIG1_g24	1
CTRL0001	CTRL0001_g25	1
CTRL0002	CTRL0002_g26	1
CTRL0003	CTRL0003_g27	1
CTRL0004	CTRL0004_g28	1
CTRL0005	CTRL0005_g29	1
CTRL0006	CTRL0006_g30	1
CTRL0007	CTRL0007_g31	1
CTRL0008	CTRL0008_g32	1
CTRL0009	CTRL0009_g33	1
CTRL0010	CTRL0010_g34	1
ROSA26	ROSA26_g35	1
ROSA26	ROSA26_g36	1
ROSA26	ROSA26_g37	1
ROSA26	ROSA26_g38	1
ROSA26	ROSA26_g39	1
ROSA26	ROSA26_g40	1
ROSA26	ROSA26_g41	1
ROSA26	ROSA26_g42	1
ROSA26	ROSA26_g43	1
ROSA26	ROSA26_g44	1
CCR5	CCR5_g45	1
CCR5	CCR5_g46	1
CCR5	CCR5_g47	1
CCR5	CCR5_g48	1
CCR5	CCR5_g49	1
CCR5	CCR5_g50	1
CCR5	CCR5_g51	1
CCR5	CCR5_g52	1
CCR5	CCR5_g53	1
CCR5	CCR5_g54	1
AAVS1	AAVS1_g55	1
AAVS1	AAVS1_g56	1
AAVS1	AAVS1_g57	1
AAVS1	AAVS1_g58	1
AAVS1	AAVS1_g59	1
AAVS1	AAVS1_g60	1
AAVS1	AAVS1_g61	1
AAVS1	AAVS1_g62	1
AAVS1	AAVS1_g63	1
AAVS1	AAVS1_g64	1
EGFP	EGFP_g65	1
EGFP	EGFP_g66	1
EGFP	EGFP_g67	1
EGFP	EGFP_g68	1
EGFP	EGFP_g69	1
EGFP	EGFP_g70	1
mKate2	mKate2_g71	1
mKate2	mKate2_g72	1
mKate2	mKate2_g73	1
mKate2	mKate2_g74	1
mKate2	mKate2_g75	1
mKate2	mKate2_g76	1
